name,arch,in_T1,underlying,has_body,has_mk_test,has_extract_ensures,has_extract_opaque,has_specintrinsics_lemma,audit_consistent,fstar_proven,trust_level
mm256_storeu_si256_u8,avx2,true,_mm256_storeu_si256,false,false,true,false,false,,false,L0
mm256_storeu_si256_i16,avx2,true,_mm256_storeu_si256,false,false,true,false,false,,false,L0
mm256_storeu_si256_i32,avx2,true,_mm256_storeu_si256,false,false,false,false,true,,false,L0
mm_storeu_si128,avx2,true,_mm_storeu_si128,true,true,true,false,false,,false,L2
mm_storeu_si128_u128,avx2,true,_mm_storeu_si128,true,true,false,false,false,,false,L2
mm_storeu_si128_u8,avx2,true,_mm_storeu_si128,true,true,false,false,false,,false,L2
mm_storeu_si128_i32,avx2,true,_mm_storeu_si128,true,true,false,false,true,,false,L2
mm_storeu_bytes_si128,avx2,true,_mm_storeu_si128,true,true,true,false,true,,false,L2
mm_loadu_si128,avx2,true,_mm_loadu_si128,false,false,true,false,true,,false,L0
mm_loadu_si128_u128,avx2,true,_mm_loadu_si128,false,false,false,false,true,,false,L0
mm256_loadu_si256_u8,avx2,true,_mm256_loadu_si256,false,false,true,false,true,,false,L0
mm256_loadu_si256_i16,avx2,true,_mm256_loadu_si256,false,false,true,false,false,,false,L0
mm256_loadu_si256_i32,avx2,true,_mm256_loadu_si256,false,false,false,false,true,,false,L0
mm256_setzero_si256,avx2,true,_mm256_setzero_si256,true,true,true,false,true,true,false,L3
mm_setzero_si128,avx2,true,_mm_setzero_si128,true,true,false,false,false,,false,L2
mm256_set_m128i,avx2,true,_mm256_set_m128i,true,true,false,false,true,true,false,L3
mm_set_epi8,avx2,true,_mm_set_epi8,true,true,true,false,true,true,false,L3
mm256_set_epi8,avx2,true,_mm256_set_epi8,true,true,true,false,true,true,false,L3
mm256_set1_epi16,avx2,true,_mm256_set1_epi16,true,true,true,false,false,true,false,L3
mm256_set_epi16,avx2,true,_mm256_set_epi16,true,true,true,false,true,true,false,L3
mm_set1_epi16,avx2,true,_mm_set1_epi16,true,true,true,false,false,true,false,L3
mm256_set1_epi32,avx2,true,_mm256_set1_epi32,true,true,false,false,true,true,false,L3
mm_set_epi32,avx2,true,_mm_set_epi32,true,true,false,false,true,true,false,L3
mm256_set_epi32,avx2,true,_mm256_set_epi32,true,true,true,false,true,true,false,L3
mm_add_epi16,avx2,true,_mm_add_epi16,true,true,true,false,false,true,false,L3
